Designator,Mid X,Mid Y,Rotation,Layer
BT1,128.8,-124.5,0.0,bottom
C1,124.57,-112.3,180.0,top
C10,166.2,-97.3,270.0,top
C11,169.0,-89.7,90.0,top
C12,158.6,-87.28,90.0,top
C2,124.6,-114.7,180.0,top
C3,124.6,-117.1,180.0,top
C4,126.52,-101.65,90.0,top
C5,149.8,-93.0,270.0,top
C6,119.62,-97.1,90.0,top
C7,143.2,-92.6,180.0,top
C8,177.9,-124.3,180.0,top
C9,161.8,-96.1,270.0,top
D1,130.8,-116.8,0.0,top
D10,148.8,-98.06,90.0,top
D11,151.125,-98.06,90.0,top
D12,153.45,-98.06,90.0,top
D2,130.8,-113.0,0.0,top
D3,132.81,-106.7,180.0,top
D4,178.7,-116.7,90.0,top
D5,175.0,-116.7,90.0,top
D6,191.1,-83.8,90.0,top
D7,144.5,-94.85,270.0,top
D8,196.45,-92.2,270.0,top
D9,142.4,-94.85,270.0,top
ETH1,190.955,-103.9,90.0,top
ETH2,190.975,-123.615,90.0,top
F1,195.85,-81.8,0.0,top
FH1,164.7,-111.8,180.0,top
FH2,147.6,-111.8,0.0,top
J1,148.53,-82.52,270.0,bottom
J2,162.3,-123.649998,90.0,top
J3,143.2,-123.649998,90.0,top
J4,176.6,-106.04,0.0,top
J5,196.43,-87.23,0.0,top
JP1,187.3,-84.24,0.0,top
JP2,181.9,-89.66,0.0,top
L1,130.93,-92.7,180.0,top
R1,178.0,-94.85,270.0,top
R10,172.6,-120.9,0.0,top
R11,172.6,-121.8,0.0,top
R12,172.6,-122.7,0.0,top
R13,142.1,-87.1,270.0,top
R14,142.1,-89.4,270.0,top
R15,150.1,-102.5,270.0,top
R16,151.1,-102.5,270.0,top
R17,184.6,-87.7,270.0,top
R18,152.1,-102.5,270.0,top
R19,160.2,-86.3,180.0,top
R2,155.8,-128.4,270.0,top
R20,178.0,-86.9,90.0,top
R3,156.6,-124.9,270.0,top
R4,123.12,-98.2,270.0,top
R5,123.52,-101.4,180.0,top
R6,121.72,-102.7,180.0,top
R7,151.7,-127.1,270.0,top
R8,152.7,-125.7,270.0,top
R9,175.7,-124.3,0.0,top
S1,155.4,-89.1,270.0,top
U1,124.6,-107.0,270.0,top
U2,176.8,-122.1,270.0,top
U3,146.4,-89.5,90.0,top
U4,173.5,-89.6,270.0,top
U5,163.125,-90.6,0.0,top
X1,151.3,-91.4,90.0,top
X2,163.8,-96.9,270.0,top
